frame,track,score,x,y
312,1350,0.0324,157.3,29.3,0.250,True,0
313,1350,0.0383,156.7,29.4,0.250,True,0
314,1324,0.0028,1623.9,10.2,0.250,True,1
315,1367,0.0469,1812.1,1.7,0.250,True,0
316,1367,0.0380,1812.5,1.3,0.250,True,0
317,1323,0.0051,1541.8,42.7,0.250,True,0
318,1385,0.0514,1560.7,21.6,0.250,True,0
319,1385,0.0383,1559.3,21.9,0.250,True,0
320,1380,0.0163,1528.8,0.4,0.250,True,0
321,1403,0.0582,1071.5,209.5,0.250,True,1
322,1403,0.0508,1070.7,209.0,0.250,True,0
323,1403,0.0446,1072.7,206.0,0.250,True,1
324,1403,0.0565,1071.4,210.7,0.250,True,1
325,1403,0.0363,1071.0,211.7,0.250,True,0
326,1403,0.0235,1070.6,210.6,0.250,True,0
327,1427,0.0468,1076.4,14.7,0.250,True,0
328,1427,0.0377,1076.3,15.7,0.250,True,0
329,1403,0.0087,1071.4,219.1,0.250,True,0
330,1439,0.0640,1637.5,0.5,0.250,True,1
331,1439,0.0586,1638.1,0.1,0.250,True,0
332,1439,0.0392,1638.2,0.8,0.250,True,0
333,1386,0.0378,1483.4,16.8,0.250,True,1
334,1386,0.0299,1483.9,15.8,0.250,True,0
335,1386,0.0203,1482.9,15.8,0.250,True,0
336,1459,0.0350,840.4,12.9,0.250,True,0
337,1459,0.0380,839.1,13.4,0.250,True,0
338,1404,0.0066,834.6,226.4,0.250,True,1
339,1483,0.0512,1577.9,191.3,0.250,True,0
340,1483,0.0560,1578.0,188.9,0.250,True,1
341,1483,0.0358,1578.4,189.6,0.250,True,0
342,1492,0.0364,1004.5,54.6,0.250,True,0
343,1492,0.0379,1005.6,55.5,0.250,True,0
344,1491,0.0245,181.8,57.2,0.250,True,0
345,1502,0.0506,180.0,4.1,0.250,True,0
346,1502,0.0381,180.6,3.1,0.250,True,0
347,1506,0.0113,536.9,59.2,0.250,True,0
348,1518,0.0302,1374.6,1.9,0.250,True,0
349,1518,0.0378,1373.1,1.2,0.250,True,0
350,1524,0.0216,1854.2,3.9,0.250,True,1
351,1536,0.0258,853.6,38.4,0.250,True,0
352,1536,0.0379,852.6,37.8,0.250,True,0
353,1538,0.0101,841.6,60.5,0.250,True,0
354,1544,0.0449,1109.7,32.8,0.250,True,0
355,1544,0.0380,1109.4,33.9,0.250,True,0
356,1523,0.0132,1801.1,5.4,0.250,True,0
357,1559,0.0463,2008.7,56.4,0.250,True,0
358,1559,0.0380,2009.5,57.1,0.250,True,0
359,1435,0.0061,1458.3,68.6,0.250,True,1
360,1568,0.0488,1553.1,-0.6,0.250,True,0
361,1568,0.0381,1552.5,0.9,0.250,True,0
362,1405,0.0192,1131.9,364.6,0.250,True,0
363,1590,0.0425,916.3,63.4,0.250,True,0
364,1590,0.0382,915.8,63.5,0.250,True,0
365,1589,0.0087,894.0,44.3,0.250,True,0
366,1604,0.0485,1023.3,18.8,0.250,True,0
367,1604,0.0382,1023.3,17.2,0.250,True,0
368,1404,0.0064,761.0,247.6,0.250,True,1
369,1616,0.0350,1384.5,18.4,0.250,True,0
370,1616,0.0383,1385.3,19.7,0.250,True,0
371,1617,0.0074,1930.0,37.0,0.250,True,0
372,1636,0.0405,1751.6,33.5,0.250,True,0
373,1636,0.0296,1750.9,33.7,0.250,True,0
374,1636,0.0202,1752.4,34.7,0.250,True,0
375,1653,0.0440,1464.1,59.0,0.250,True,0
376,1646,0.0316,1137.4,0.4,0.250,True,0
377,1405,0.0435,1146.5,371.7,0.250,True,1
378,1671,0.0404,842.5,52.8,0.250,True,0
379,1671,0.0379,841.7,52.8,0.250,True,0
380,1405,0.0158,1150.4,369.1,0.250,True,0
381,1687,0.0435,1115.5,77.0,0.250,True,1
382,1684,0.0344,1258.4,50.4,0.250,True,0
383,1687,0.0196,1116.6,76.9,0.250,True,0
384,1702,0.0646,1550.0,0.0,0.250,True,1
385,1702,0.0504,1550.0,-0.3,0.250,True,0
